FleetID,Date,Status,HoursInService
FL00001,2025-06-01,In service,19.91
FL00001,2025-06-02,In service,20.19
FL00001,2025-06-03,In service,12.98
FL00001,2025-06-04,In service,23.29
FL00001,2025-06-05,In service,17.08
FL00001,2025-06-06,In service,19.27
FL00001,2025-06-07,In service,25.43
FL00001,2025-06-08,In service,8.5
FL00001,2025-06-09,In service,18.96
FL00001,2025-06-10,In service,20.18
FL00001,2025-06-11,In service,15.82
FL00001,2025-06-12,In service,10.35
FL00001,2025-06-13,In service,12.5
FL00001,2025-06-14,Under maintenance,0.0
FL00001,2025-06-15,In service,18.16
FL00001,2025-06-16,In service,6.12
FL00001,2025-06-17,In service,13.52
FL00001,2025-06-18,In service,19.09
FL00001,2025-06-19,In service,25.93
FL00001,2025-06-20,In service,16.62
FL00001,2025-06-21,In service,14.92
FL00001,2025-06-22,In service,11.86
FL00001,2025-06-23,Under maintenance,0.0
FL00001,2025-06-24,Under maintenance,0.0
FL00001,2025-06-25,In service,16.6
FL00001,2025-06-26,Under maintenance,0.0
FL00001,2025-06-27,In service,17.31
FL00001,2025-06-28,In service,22.17
FL00001,2025-06-29,In service,21.48
FL00001,2025-06-30,In service,8.63
FL00001,2025-07-01,In service,8.18
FL00001,2025-07-02,In service,15.06
FL00001,2025-07-03,Under maintenance,0.0
FL00001,2025-07-04,In service,20.43
FL00001,2025-07-05,In service,24.91
FL00001,2025-07-06,In service,14.62
FL00001,2025-07-07,In service,18.17
FL00001,2025-07-08,In service,13.8
FL00001,2025-07-09,In service,10.42
FL00001,2025-07-10,In service,20.94
FL00001,2025-07-11,In service,18.3
FL00001,2025-07-12,Under maintenance,0.0
FL00001,2025-07-13,In service,11.55
FL00001,2025-07-14,In service,13.78
FL00001,2025-07-15,In service,22.88
FL00001,2025-07-16,In service,18.98
FL00001,2025-07-17,In service,15.14
FL00001,2025-07-18,In service,17.86
FL00001,2025-07-19,In service,10.14
FL00001,2025-07-20,In service,18.03
FL00001,2025-07-21,In service,9.79
FL00001,2025-07-22,Under maintenance,0.0
FL00001,2025-07-23,In service,14.44
FL00001,2025-07-24,In service,19.37
FL00001,2025-07-25,In service,17.53
FL00001,2025-07-26,In service,23.03
FL00001,2025-07-27,In service,17.0
FL00001,2025-07-28,Under maintenance,0.0
FL00001,2025-07-29,In service,9.12
FL00001,2025-07-30,In service,11.33
FL00001,2025-07-31,In service,15.49
FL00001,2025-08-01,Under maintenance,0.0
FL00001,2025-08-02,Under maintenance,0.0
FL00001,2025-08-03,In service,18.7
