FleetID,FailureDate,FailureType,DowntimeHours,DelayMinutes
FL00001,2025-06-22,Electrical,9.2,52
FL00002,2025-07-01,Electrical,5.5,61
FL00003,2025-07-08,HVAC,4.0,57
FL00004,2025-06-07,Electrical,6.9,74
FL00004,2025-06-06,Brake,10.5,29
FL00006,2025-06-11,Brake,9.9,34
FL00006,2025-07-20,Electrical,18.5,52
FL00006,2025-08-29,Brake,16.1,40
FL00007,2025-07-15,HVAC,8.8,41
FL00008,2025-08-26,Brake,0.5,53
FL00008,2025-08-29,Door,13.1,46
FL00008,2025-07-06,Brake,10.8,35
FL00008,2025-08-30,Door,17.4,29
FL00008,2025-06-06,Engine,5.7,44
FL00008,2025-08-18,Electrical,8.6,64
FL00009,2025-06-08,Brake,10.0,38
FL00009,2025-06-18,Brake,9.0,34
FL00009,2025-08-25,Door,18.5,40
FL00011,2025-06-18,Door,6.1,65
FL00011,2025-07-02,Door,4.1,73
FL00012,2025-07-23,Electrical,6.3,25
FL00012,2025-07-12,HVAC,11.5,13
FL00013,2025-07-29,HVAC,12.5,100
FL00013,2025-06-06,Door,10.4,55
FL00013,2025-06-28,Engine,23.5,60
FL00014,2025-06-09,Door,5.5,25
FL00014,2025-06-24,Brake,16.4,58
FL00015,2025-06-29,Engine,20.1,0
FL00015,2025-08-02,Engine,10.8,68
FL00015,2025-06-05,HVAC,12.0,35
FL00015,2025-06-30,Electrical,21.6,22
FL00016,2025-06-11,Engine,19.3,24
FL00016,2025-06-27,Electrical,8.4,0
FL00016,2025-08-18,Engine,13.1,25
FL00017,2025-08-01,HVAC,10.5,40
FL00017,2025-07-20,Brake,11.5,32
FL00017,2025-06-08,Door,6.7,70
FL00017,2025-07-13,Electrical,8.6,53
FL00017,2025-06-09,Door,16.5,55
FL00018,2025-07-25,Door,15.0,68
FL00019,2025-06-02,Brake,4.1,32
FL00019,2025-07-13,Door,16.5,20
FL00019,2025-07-04,HVAC,11.8,41
FL00019,2025-07-08,HVAC,22.6,73
FL00020,2025-07-04,Brake,9.4,35
FL00020,2025-06-05,Brake,20.3,56
FL00020,2025-08-13,Electrical,15.2,63
FL00020,2025-06-22,Brake,19.8,80
FL00020,2025-08-24,Electrical,31.9,59
FL00020,2025-08-30,Brake,11.9,71
FL00021,2025-08-27,HVAC,5.8,24
FL00022,2025-08-22,Electrical,7.2,60
FL00022,2025-08-02,Engine,16.3,43
FL00022,2025-08-31,Electrical,0.8,12
FL00024,2025-08-13,HVAC,7.5,25
FL00025,2025-06-08,Engine,11.5,50
FL00025,2025-08-13,Brake,11.2,0
FL00025,2025-07-16,Electrical,31.2,53
FL00026,2025-06-21,Brake,9.6,79
FL00026,2025-07-09,Engine,11.4,31
FL00027,2025-08-07,HVAC,10.5,57
FL00028,2025-06-03,Brake,16.1,58
FL00029,2025-06-16,Door,13.6,34
