FleetID,FleetType,DepotID
FL00001,Passenger,DP00003
FL00002,Passenger,DP00002
FL00003,Passenger,DP00005
FL00004,Passenger,DP00002
FL00005,Passenger,DP00002
FL00006,Passenger,DP00002
FL00007,Passenger,DP00002
FL00008,Freight,DP00001
FL00009,Passenger,DP00004
FL00010,Passenger,DP00001
FL00011,Passenger,DP00003
FL00012,Freight,DP00003
FL00013,Passenger,DP00004
FL00014,Freight,DP00004
FL00015,Maintenance,DP00004
FL00016,Passenger,DP00002
FL00017,Freight,DP00001
FL00018,Freight,DP00003
FL00019,Passenger,DP00001
FL00020,Freight,DP00001
FL00021,Passenger,DP00001
FL00022,Passenger,DP00004
FL00023,Freight,DP00004
FL00024,Freight,DP00003
FL00025,Maintenance,DP00003
FL00026,Passenger,DP00003
FL00027,Passenger,DP00001
FL00028,Passenger,DP00004
FL00029,Passenger,DP00002
FL00030,Passenger,DP00001
FL00031,Passenger,DP00005
FL00032,Passenger,DP00001
FL00033,Passenger,DP00004
FL00034,Passenger,DP00005
FL00035,Maintenance,DP00001
FL00036,Freight,DP00004
FL00037,Passenger,DP00004
FL00038,Maintenance,DP00002
FL00039,Freight,DP00001
FL00040,Maintenance,DP00004
FL00041,Passenger,DP00003
FL00042,Passenger,DP00004
FL00043,Maintenance,DP00002
FL00044,Passenger,DP00004
FL00045,Maintenance,DP00001
FL00046,Freight,DP00001
FL00047,Maintenance,DP00005
FL00048,Passenger,DP00001
FL00049,Passenger,DP00005
FL00050,Passenger,DP00003
FL00051,Maintenance,DP00002
FL00052,Passenger,DP00003
FL00053,Passenger,DP00005
FL00054,Passenger,DP00004
FL00055,Passenger,DP00004
FL00056,Passenger,DP00003
FL00057,Passenger,DP00004
FL00058,Freight,DP00005
FL00059,Passenger,DP00002
FL00060,Maintenance,DP00001
FL00061,Freight,DP00005
FL00062,Freight,DP00005
FL00063,Freight,DP00001
FL00064,Passenger,DP00001
FL00065,Passenger,DP00002
FL00066,Freight,DP00002
FL00067,Passenger,DP00002
FL00068,Passenger,DP00004
FL00069,Passenger,DP00005
FL00070,Freight,DP00001
FL00071,Passenger,DP00005
FL00072,Passenger,DP00005
FL00073,Passenger,DP00002
FL00074,Maintenance,DP00002
FL00075,Passenger,DP00005
FL00076,Freight,DP00002
FL00077,Passenger,DP00004
FL00078,Freight,DP00001
FL00079,Passenger,DP00005
FL00080,Freight,DP00001
FL00081,Passenger,DP00004
FL00082,Passenger,DP00002
FL00083,Freight,DP00003
FL00084,Freight,DP00004
FL00085,Freight,DP00003
FL00086,Maintenance,DP00001
FL00087,Passenger,DP00005
FL00088,Maintenance,DP00002
FL00089,Passenger,DP00004
FL00090,Freight,DP00002
FL00091,Passenger,DP00003
FL00092,Passenger,DP00003
FL00093,Passenger,DP00005
FL00094,Passenger,DP00003
FL00095,Passenger,DP00005
FL00096,Passenger,DP00004
FL00097,Passenger,DP00005
FL00098,Passenger,DP00003
FL00099,Passenger,DP00001
FL00100,Passenger,DP00005
FL00101,Passenger,DP00002
FL00102,Passenger,DP00001
FL00103,Freight,DP00005
FL00104,Maintenance,DP00002
FL00105,Passenger,DP00001
FL00106,Freight,DP00005
FL00107,Freight,DP00004
FL00108,Passenger,DP00002
FL00109,Freight,DP00004
FL00110,Passenger,DP00003
