WOID,FleetID,Type,Start,End,CauseCode
WO000001,FL00001,CM,2025-07-27,2025-07-27 11:23:19.063961,Inspection
WO000002,FL00001,CM,2025-08-04,2025-08-04 15:59:39.437496,Scheduled
WO000003,FL00001,PM,2025-06-15,2025-06-15 07:10:47.326861,Wear
WO000004,FL00001,CM,2025-08-28,2025-08-28 07:31:54.785545,Scheduled
WO000005,FL00001,PM,2025-06-02,2025-06-02 16:26:30.568013,Wear
WO000006,FL00002,CM,2025-06-14,2025-06-14 20:00:01.216343,Scheduled
WO000007,FL00002,PM,2025-06-23,2025-06-23 17:19:47.638498,Wear
WO000008,FL00002,PM,2025-06-20,2025-06-20 13:29:33.350017,Wear
WO000009,FL00003,PM,2025-07-21,2025-07-21 19:16:13.536913,Wear
WO000010,FL00003,CM,2025-08-11,2025-08-11 08:03:15.867132,Inspection
WO000011,FL00003,CM,2025-08-19,2025-08-20 00:44:00.606819,Wear
WO000012,FL00003,CM,2025-08-25,2025-08-25 01:00:00.000000,Upgrade
WO000013,FL00004,CM,2025-08-07,2025-08-08 01:28:07.212390,Wear
WO000014,FL00004,CM,2025-06-27,2025-06-28 14:12:39.519734,Inspection
WO000015,FL00005,CM,2025-08-09,2025-08-10 08:32:35.163665,Scheduled
WO000016,FL00005,PM,2025-07-01,2025-07-02 08:01:26.200722,Upgrade
WO000017,FL00005,PM,2025-06-11,2025-06-11 11:55:30.325317,Inspection
WO000018,FL00006,CM,2025-07-19,2025-07-20 10:39:09.080422,Wear
WO000019,FL00006,CM,2025-07-23,2025-07-23 16:12:46.552156,Upgrade
WO000020,FL00006,PM,2025-07-01,2025-07-01 12:03:11.772462,Upgrade
WO000021,FL00007,PM,2025-07-01,2025-07-02 08:34:04.420239,Inspection
WO000022,FL00008,PM,2025-08-22,2025-08-23 05:49:46.393527,Scheduled
WO000023,FL00008,PM,2025-07-05,2025-07-06 03:04:04.233600,Scheduled
WO000024,FL00008,CM,2025-07-02,2025-07-02 22:03:30.609601,Inspection
WO000025,FL00008,CM,2025-07-23,2025-07-23 22:08:37.035030,Upgrade
WO000026,FL00008,CM,2025-07-08,2025-07-08 21:05:27.010228,Upgrade
WO000027,FL00008,PM,2025-08-05,2025-08-05 15:40:00.108219,Wear
WO000028,FL00008,CM,2025-07-19,2025-07-20 08:38:31.294723,Upgrade
WO000029,FL00009,PM,2025-07-29,2025-07-29 14:27:55.834965,Inspection
WO000030,FL00009,CM,2025-07-01,2025-07-01 15:52:49.838544,Upgrade
WO000031,FL00009,CM,2025-06-23,2025-06-23 20:26:49.215353,Upgrade
WO000032,FL00009,CM,2025-08-14,2025-08-15 16:57:48.215373,Upgrade
WO000033,FL00009,PM,2025-07-22,2025-07-22 14:47:57.194762,Upgrade
WO000034,FL00009,PM,2025-08-19,2025-08-19 22:58:19.928584,Scheduled
WO000035,FL00010,PM,2025-08-07,2025-08-07 06:57:30.763560,Upgrade
WO000036,FL00010,PM,2025-06-26,2025-06-26 08:25:14.597778,Wear
WO000037,FL00010,PM,2025-06-22,2025-06-23 05:49:44.417618,Wear
WO000038,FL00010,CM,2025-07-23,2025-07-23 23:04:11.148450,Inspection
WO000039,FL00010,CM,2025-08-16,2025-08-16 19:07:44.889591,Inspection
WO000040,FL00011,CM,2025-08-07,2025-08-07 04:57:25.608157,Scheduled
WO000041,FL00013,PM,2025-07-14,2025-07-14 15:43:03.432247,Wear
WO000042,FL00013,CM,2025-07-21,2025-07-21 21:18:31.087118,Scheduled
WO000043,FL00013,CM,2025-06-12,2025-06-13 10:47:16.217066,Scheduled
WO000044,FL00013,CM,2025-07-20,2025-07-21 08:48:44.517298,Wear
WO000045,FL00013,CM,2025-08-02,2025-08-03 01:35:18.519570,Upgrade
WO000046,FL00013,CM,2025-08-02,2025-08-02 18:47:34.448545,Inspection
WO000047,FL00013,CM,2025-08-28,2025-08-29 02:14:37.614632,Wear
WO000048,FL00013,CM,2025-06-08,2025-06-08 11:54:39.026535,Scheduled
WO000049,FL00014,PM,2025-07-26,2025-07-26 21:17:25.027650,Inspection
WO000050,FL00015,PM,2025-07-02,2025-07-02 10:39:57.910647,Upgrade
WO000051,FL00015,CM,2025-08-21,2025-08-21 09:50:46.695151,Inspection
WO000052,FL00016,PM,2025-06-08,2025-06-08 23:22:46.488498,Upgrade
WO000053,FL00016,PM,2025-07-26,2025-07-27 11:51:10.106272,Upgrade
WO000054,FL00016,PM,2025-07-31,2025-08-01 00:31:13.371788,Scheduled
WO000055,FL00016,CM,2025-08-03,2025-08-03 16:09:41.613888,Scheduled
WO000056,FL00017,PM,2025-08-05,2025-08-05 01:00:00.000000,Scheduled
WO000057,FL00017,CM,2025-08-25,2025-08-25 01:16:39.072401,Inspection
WO000058,FL00017,PM,2025-07-15,2025-07-15 09:31:31.865344,Scheduled
WO000059,FL00019,PM,2025-06-01,2025-06-01 19:18:27.808882,Inspection
WO000060,FL00019,CM,2025-07-29,2025-07-29 20:54:43.888383,Wear
WO000061,FL00020,PM,2025-07-04,2025-07-04 13:23:59.925692,Wear
WO000062,FL00020,PM,2025-06-07,2025-06-08 01:51:19.667516,Inspection
WO000063,FL00020,PM,2025-07-15,2025-07-15 17:29:03.074740,Scheduled
WO000064,FL00021,CM,2025-08-28,2025-08-28 21:12:52.671143,Scheduled
WO000065,FL00021,CM,2025-08-31,2025-09-01 08:01:18.547457,Wear
WO000066,FL00022,PM,2025-07-11,2025-07-11 16:12:19.139124,Inspection
WO000067,FL00022,PM,2025-07-18,2025-07-18 21:05:48.310030,Upgrade
WO000068,FL00023,CM,2025-08-26,2025-08-26 07:19:11.122468,Inspection
