TaskID,ProjectID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13
TK000001,PJ0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000002,PJ0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000003,PJ0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000004,PJ0001,15270.72,19633.78,23996.84,28359.91,32722.97,37086.03,41449.09,45812.15,50175.22,54538.28,58901.34,63264.4,67627.47
TK000005,PJ0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000006,PJ0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000007,PJ0001,121351.68,156023.59,190695.5,225367.41,260039.32,294711.23,329383.14,364055.05,398726.95,433398.86,468070.77,502742.68,537414.59
TK000008,PJ0001,14583.91,18750.74,22917.57,27084.4,31251.23,35418.06,39584.89,43751.72,47918.55,52085.38,56252.21,60419.04,64585.89
TK000009,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000010,PJ0002,70142.74,65543.22,60943.7,56344.17,51744.65,47145.12,42545.6,37946.07,33346.55,28747.03,24147.5,19547.98,14948.46
TK000011,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000012,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000013,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000014,PJ0002,1071.93,1378.2,1684.47,1990.73,2297.0,2603.27,2909.54,3215.8,3522.07,3828.34,4134.6,4440.87,4747.14
TK000015,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000016,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000017,PJ0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000018,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000019,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000020,PJ0003,175.52,279.24,382.96,486.68,590.4,694.11,797.83,694.11,590.4,486.68,382.96,279.24,175.53
TK000021,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000022,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000023,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000024,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000025,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000026,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000027,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000028,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000029,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000030,PJ0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000031,PJ0004,7725.46,7218.88,6712.29,6205.7,5699.11,5192.53,4685.94,4179.35,3672.76,3166.17,2659.59,2153.0,1646.41
TK000032,PJ0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000033,PJ0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000034,PJ0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000035,PJ0004,14611.4,18786.08,22960.77,27135.45,31310.14,35484.82,39659.51,43834.19,48008.87,52183.56,56358.24,60532.93,64707.61
TK000036,PJ0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000037,PJ0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000038,PJ0004,1737.05,1623.15,1509.24,1395.34,1281.43,1167.53,1053.62,939.72,825.81,711.91,598.0,484.1,370.17
TK000039,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000040,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000041,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000042,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000043,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000044,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000045,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000046,PJ0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
