TaskID,ProjectID,TaskName,TaskGroup,PlannedStart,PlannedEnd
TK000001,PJ0001,Project Management,PM,2025-03-25,2025-06-25
TK000002,PJ0001,Contingency,Contingency,2025-02-10,2025-08-13
TK000003,PJ0001,Contractor Costs,Construction,2025-02-17,2025-06-09
TK000004,PJ0001,Rail Materials,Materials,2025-04-01,2025-08-24
TK000005,PJ0001,NDS,Other,2025-03-13,2025-05-06
TK000006,PJ0001,Contractor,Construction,2025-03-05,2025-04-07
TK000007,PJ0001,Construction,Construction,2025-03-11,2025-08-08
TK000008,PJ0001,Design,Design,2025-04-01,2025-05-28
TK000009,PJ0002,Project Management,PM,2024-10-13,2024-12-13
TK000010,PJ0002,Contingency,Contingency,2024-10-26,2024-12-19
TK000011,PJ0002,Contractor Costs,Construction,2024-09-15,2025-05-06
TK000012,PJ0002,On Track Plant,Construction,2024-09-13,2025-01-30
TK000013,PJ0002,Engineers Costs,Design,2024-10-02,2025-06-14
TK000014,PJ0002,Other Materials,Materials,2024-12-11,2025-02-07
TK000015,PJ0002,NDS,Other,2024-10-12,2025-03-30
TK000016,PJ0002,PCAT Costs,PM,2024-11-21,2025-04-24
TK000017,PJ0002,Possession Management,Possession,2024-09-28,2025-05-04
TK000018,PJ0003,Project Management,PM,2024-10-07,2025-10-19
TK000019,PJ0003,Contingency,Contingency,2024-12-11,2025-02-20
TK000020,PJ0003,PCAT Costs,PM,2024-12-11,2025-04-20
TK000021,PJ0003,Design,Design,2024-10-21,2025-08-10
TK000022,PJ0003,Contractor,Construction,2024-11-19,2025-10-17
TK000023,PJ0003,Possession Management,Possession,2025-02-02,2025-08-05
TK000024,PJ0003,Testing & Commissioning,Construction,2024-11-24,2025-05-13
TK000025,PJ0003,Detailed Design,Design,2024-12-13,2025-07-30
TK000026,PJ0003,Construction,Construction,2024-11-19,2025-04-23
TK000027,PJ0003,On Track Plant,Construction,2024-12-04,2025-09-22
TK000028,PJ0003,Freight Haulage,Materials,2024-12-11,2025-07-09
