TaskID,ProjectID,Budget,ProposalEstimate,ActualsToDate,Accrual,FullYearForecast,AFC,CostRemaining
TK000001,PJ0001,54903.13,54903.13,0.0,0.0,0.0,0.0,0.0
TK000002,PJ0001,0,0,0.0,0.0,0.0,0.0,0.0
TK000003,PJ0001,0,0,0.0,0.0,0.0,0.0,0.0
TK000004,PJ0001,0,0,"86,541.22",6016.63,538838.2,538838.2,452296.98
TK000005,PJ0001,107643.65,107643.65,0.0,0.0,0.0,0.0,0.0
TK000006,PJ0001,0,0,0.0,0.0,0.0,0.0,0.0
TK000007,PJ0001,0,0,651926.96,43222.28,4281980.77,4281980.77,3630053.81
TK000008,PJ0001,0,0,85995.08,3966.15,514603.59,664550.94,578555.86
TK000009,PJ0002,144861.43,144861.43,0.0,0.0,0.0,0.0,0.0
TK000010,PJ0002,509023.55,509023.55,319503.37,15317.04,553092.79,553092.79,233589.42
TK000011,PJ0002,0,0,0.0,0.0,0.0,0.0,0.0
TK000012,PJ0002,0,0,0.0,0.0,0.0,0.0,0.0
TK000013,PJ0002,90402.32,90402.32,0.0,0.0,0.0,0.0,0.0
TK000014,PJ0002,0,0,6278.95,614.02,37823.96,37823.96,31545.01
TK000015,PJ0002,0,0,0.0,0.0,0.0,0.0,0.0
TK000016,PJ0002,16429.27,16429.27,0.0,0.0,0.0,0.0,0.0
TK000017,PJ0002,166603.78,155271.38,0.0,0.0,0.0,0.0,0.0
TK000018,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000019,PJ0003,108336.51,108336.51,0.0,0.0,0.0,0.0,0.0
TK000020,PJ0003,0,0,1219.71,99.26,6015.66,6015.66,4795.95
TK000021,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000022,PJ0003,11418483.57,11418483.57,0.0,0.0,0.0,0.0,0.0
TK000023,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000024,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000025,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000026,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000027,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000028,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000029,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
TK000030,PJ0003,0,0,0.0,0.0,0.0,0.0,0.0
