EventID,ServiceID,Reason,ReasonGroup,DelayMinutes
DE000001,SV00001,Points failure,Infrastructure,35
DE000002,SV00002,Congestion,Network,13
DE000003,SV00003,Weather,External,12
DE000004,SV00003,Passenger incident,External,9
DE000005,SV00004,Rolling stock,Fleet,10
DE000006,SV00005,Points failure,Infrastructure,3
DE000007,SV00005,Congestion,Network,14
DE000008,SV00007,Points failure,Infrastructure,35
DE000009,SV00008,Passenger incident,External,34
DE000010,SV00010,Passenger incident,External,27
DE000011,SV00011,Track fault,Infrastructure,12
DE000012,SV00013,Points failure,Infrastructure,9
DE000013,SV00013,Passenger incident,External,10
DE000014,SV00014,Passenger incident,External,2
DE000015,SV00014,Points failure,Infrastructure,1
DE000016,SV00015,Rolling stock,Fleet,21
DE000017,SV00016,Passenger incident,External,52
DE000018,SV00017,Rolling stock,Fleet,12
DE000019,SV00017,Congestion,Network,1
DE000020,SV00019,Passenger incident,External,32
DE000021,SV00020,Signal failure,Infrastructure,6
DE000022,SV00020,Rolling stock,Fleet,1
DE000023,SV00022,Congestion,Network,20
DE000024,SV00022,Points failure,Infrastructure,2
DE000025,SV00023,Congestion,Network,14
DE000026,SV00024,Staffing,Operations,3
DE000027,SV00024,Rolling stock,Fleet,38
DE000028,SV00025,Track fault,Infrastructure,63
DE000029,SV00027,Track fault,Infrastructure,10
DE000030,SV00027,Staffing,Operations,20
DE000031,SV00028,Signal failure,Infrastructure,13
DE000032,SV00028,Rolling stock,Fleet,1
DE000033,SV00029,Points failure,Infrastructure,41
DE000034,SV00030,Staffing,Operations,3
DE000035,SV00031,Weather,External,12
DE000036,SV00031,Passenger incident,External,37
DE000037,SV00032,Congestion,Network,56
DE000038,SV00033,Congestion,Network,1
DE000039,SV00033,Points failure,Infrastructure,5
DE000040,SV00034,Staffing,Operations,19
DE000041,SV00034,Passenger incident,External,10
DE000042,SV00035,Points failure,Infrastructure,31
DE000043,SV00035,Rolling stock,Fleet,16
DE000044,SV00036,Passenger incident,External,5
DE000045,SV00037,Passenger incident,External,5
DE000046,SV00037,Track fault,Infrastructure,18
DE000047,SV00038,Points failure,Infrastructure,3
DE000048,SV00039,Weather,External,26
DE000049,SV00039,Track fault,Infrastructure,11
DE000050,SV00040,Passenger incident,External,13
DE000051,SV00041,Congestion,Network,3
DE000052,SV00041,Signal failure,Infrastructure,7
DE000053,SV00043,Congestion,Network,21
DE000054,SV00043,Congestion,Network,5
DE000055,SV00044,Signal failure,Infrastructure,6
DE000056,SV00045,Passenger incident,External,11
DE000057,SV00046,Congestion,Network,24
DE000058,SV00047,Signal failure,Infrastructure,23
DE000059,SV00048,Weather,External,4
DE000060,SV00048,Passenger incident,External,11
DE000061,SV00049,Track fault,Infrastructure,44
DE000062,SV00050,Signal failure,Infrastructure,16
DE000063,SV00050,Signal failure,Infrastructure,12
DE000064,SV00052,Points failure,Infrastructure,12
DE000065,SV00052,Points failure,Infrastructure,28
DE000066,SV00053,Track fault,Infrastructure,47
DE000067,SV00054,Staffing,Operations,6
DE000068,SV00054,Congestion,Network,38
DE000069,SV00055,Rolling stock,Fleet,51
DE000070,SV00056,Rolling stock,Fleet,6
DE000071,SV00056,Staffing,Operations,11
DE000072,SV00058,Rolling stock,Fleet,25
DE000073,SV00060,Points failure,Infrastructure,11
DE000074,SV00060,Rolling stock,Fleet,5
DE000075,SV00062,Track fault,Infrastructure,12
DE000076,SV00063,Signal failure,Infrastructure,18
DE000077,SV00064,Staffing,Operations,25
DE000078,SV00065,Congestion,Network,21
DE000079,SV00065,Rolling stock,Fleet,30
DE000080,SV00066,Track fault,Infrastructure,17
DE000081,SV00066,Points failure,Infrastructure,43
DE000082,SV00067,Signal failure,Infrastructure,28
DE000083,SV00068,Weather,External,51
DE000084,SV00069,Passenger incident,External,28
DE000085,SV00071,Congestion,Network,9
DE000086,SV00071,Signal failure,Infrastructure,14
DE000087,SV00072,Passenger incident,External,14
DE000088,SV00072,Congestion,Network,4
DE000089,SV00073,Signal failure,Infrastructure,53
DE000090,SV00073,Weather,External,13
DE000091,SV00074,Staffing,Operations,13
DE000092,SV00076,Weather,External,12
DE000093,SV00077,Staffing,Operations,36
