ActionID,IncidentID,ActionType,Owner,DueDate,CompletedDate
CA000001,IN00001,Signage,Team A,2025-06-23,2025-07-04
CA000002,IN00002,Inspection,Team C,2025-09-03,2025-09-01
CA000003,IN00003,Inspection,Team C,2025-08-14,2025-08-11
CA000004,IN00004,Signage,Team C,2025-07-12,2025-07-23
CA000005,IN00005,Training,Team D,2025-08-12,2025-09-01
CA000006,IN00006,Repair,Team D,2025-08-24,2025-08-25
CA000007,IN00007,Inspection,Team B,2025-06-26,2025-07-07
CA000008,IN00011,Signage,Team C,2025-07-20,2025-07-19
CA000009,IN00012,Training,Team D,2025-07-09,
CA000010,IN00013,Signage,Team D,2025-07-25,2025-08-11
CA000011,IN00014,Signage,Team A,2025-06-11,
CA000012,IN00015,Repair,Team C,2025-08-17,
CA000013,IN00017,Repair,Team A,2025-09-19,
CA000014,IN00018,Signage,Team B,2025-08-06,2025-08-16
CA000015,IN00019,Repair,Team C,2025-09-01,2025-09-10
CA000016,IN00020,Repair,Team C,2025-07-21,2025-07-31
CA000017,IN00021,Signage,Team A,2025-07-03,
CA000018,IN00022,Repair,Team A,2025-08-29,
CA000019,IN00023,Procedure update,Team D,2025-07-22,
CA000020,IN00024,Inspection,Team A,2025-09-09,2025-09-21
CA000021,IN00025,Repair,Team D,2025-08-24,2025-09-04
CA000022,IN00026,Repair,Team D,2025-07-11,2025-07-30
CA000023,IN00027,Training,Team D,2025-07-08,2025-07-23
CA000024,IN00028,Inspection,Team C,2025-09-11,2025-10-01
CA000025,IN00029,Procedure update,Team A,2025-08-31,2025-09-18
CA000026,IN00030,Inspection,Team D,2025-08-07,2025-08-15
CA000027,IN00031,Inspection,Team D,2025-08-23,2025-08-29
CA000028,IN00033,Training,Team A,2025-07-11,2025-07-27
CA000029,IN00034,Inspection,Team C,2025-09-01,
CA000030,IN00035,Procedure update,Team D,2025-08-10,
CA000031,IN00036,Signage,Team C,2025-07-21,2025-08-06
CA000032,IN00037,Signage,Team D,2025-09-11,2025-09-29
CA000033,IN00038,Signage,Team D,2025-08-31,2025-09-11
CA000034,IN00039,Inspection,Team C,2025-07-30,2025-07-27
CA000035,IN00040,Procedure update,Team D,2025-09-07,2025-09-07
CA000036,IN00042,Repair,Team A,2025-08-16,2025-08-20
CA000037,IN00043,Signage,Team B,2025-07-15,2025-07-12
CA000038,IN00044,Signage,Team A,2025-08-01,2025-07-31
CA000039,IN00045,Inspection,Team B,2025-08-18,2025-09-01
CA000040,IN00046,Repair,Team B,2025-09-02,2025-09-22
CA000041,IN00047,Signage,Team B,2025-09-13,
CA000042,IN00048,Procedure update,Team B,2025-06-08,2025-06-19
CA000043,IN00049,Repair,Team D,2025-08-07,
CA000044,IN00050,Signage,Team B,2025-07-28,
CA000045,IN00051,Training,Team A,2025-07-15,
CA000046,IN00052,Procedure update,Team D,2025-08-09,
CA000047,IN00053,Inspection,Team A,2025-07-14,
CA000048,IN00054,Training,Team D,2025-08-12,2025-08-26
CA000049,IN00055,Training,Team C,2025-07-06,2025-07-15
CA000050,IN00056,Procedure update,Team A,2025-06-29,2025-07-10
CA000051,IN00057,Inspection,Team A,2025-08-30,
CA000052,IN00058,Repair,Team B,2025-07-17,2025-07-24
CA000053,IN00059,Training,Team D,2025-06-10,2025-06-17
CA000054,IN00060,Signage,Team C,2025-07-17,
CA000055,IN00061,Signage,Team C,2025-06-29,2025-07-10
CA000056,IN00062,Signage,Team A,2025-08-01,2025-08-14
CA000057,IN00063,Signage,Team C,2025-09-08,2025-09-27
CA000058,IN00065,Procedure update,Team C,2025-08-18,2025-09-06
