IncidentID,Date,Time,LocationID,IncidentType,Severity,Department,Cause,ClosedDate
IN00001,2025-06-06,12:28:46,LC006,Trip,Minor,Operations,Human error,2025-07-01
IN00002,2025-08-16,18:23:05,LC022,Collision,Minor,Customer Service,Obstruction,2025-09-03
IN00003,2025-08-01,16:35:32,LC016,Slip,Minor,Customer Service,Equipment,2025-08-20
IN00004,2025-06-28,07:58:23,LC007,Electrical,Major,Security,Poor lighting,2025-08-17
IN00005,2025-07-21,20:38:14,LC019,slip,Minor,Security,Wet floor,2025-07-25
IN00006,2025-08-19,19:50:26,LC025,slip,Minor,Customer Service,Human error,2025-09-26
IN00007,2025-06-15,12:36:52,LC001,slip,Minor,Operations,Human error,
IN00008,2025-08-10,09:59:34,LC012,slip,Minor,Security,Equipment,2025-08-15
IN00009,2025-08-06,12:49:58,LC001,Trip,Major,Operations,Wet floor,2025-09-13
IN00010,2025-08-26,18:43:37,LC013,Near Miss,Minor,Operations,Wet floor,2025-09-15
IN00011,2025-06-29,09:38:16,LC006,slip,Minor,Maintenance,Human error,
IN00012,2025-06-17,14:21:20,LC017,TRIP,Minor,Security,Weather,2025-08-10
IN00013,2025-06-29,08:05:26,LC002,Near Miss,Minor,Maintenance,Human error,
IN00014,2025-06-03,18:32:09,LC006,slip,Major,Security,,
IN00015,2025-08-01,23:31:40,LC007,Near Miss,Minor,Security,,2025-09-21
IN00016,2025-07-14,11:57:11,LC005,slip,Minor,Projects,Equipment,2025-09-03
IN00017,2025-08-30,19:00:10,LC019,Electrical,Minor,Customer Service,Wet floor,2025-10-22
IN00018,2025-07-19,08:26:16,LC025,Slip,Minor,Maintenance,Poor lighting,2025-09-01
IN00019,2025-08-08,22:45:59,LC003,Collision,Minor,Security,Equipment,2025-08-13
IN00020,2025-07-05,20:47:06,LC022,TRIP,Major,Operations,Human error,2025-08-27
IN00021,2025-06-11,09:55:02,LC002,Trip,Minor,Maintenance,Human error,2025-06-11
IN00022,2025-08-26,18:01:44,LC025,Trip,Minor,Maintenance,Human error,
IN00023,2025-06-26,10:04:08,LC024,Slip,Minor,Security,Weather,2025-06-26
IN00024,2025-08-27,21:55:33,LC027,Trip,Major,Security,Weather,2025-09-07
IN00025,2025-08-11,17:57:27,LC002,Manual Handling,Minor,Maintenance,Weather,
IN00026,2025-06-23,16:08:25,LC003,TRIP,Major,Projects,Equipment,2025-08-01
IN00027,2025-07-04,22:15:45,LC005,Near Miss,Minor,Customer Service,Equipment,2025-08-04
IN00028,2025-08-28,14:07:21,LC021,Manual Handling,Minor,Maintenance,Human error,
IN00029,2025-08-04,15:37:38,LC026,Trip,Major,Customer Service,Equipment,
IN00030,2025-07-17,08:46:02,LC003,Slip,Major,Customer Service,Equipment,
IN00031,2025-07-27,07:47:58,LC012,slip,Major,Operations,Equipment,
IN00032,2025-06-05,16:28:58,LC025,Manual Handling,Minor,Security,Poor lighting,2025-07-30
IN00033,2025-06-21,18:40:28,LC005,TRIP,Minor,Customer Service,Poor lighting,2025-08-05
IN00034,2025-08-23,18:18:48,LC026,slip,Minor,Maintenance,Weather,
IN00035,2025-08-02,20:44:08,LC023,Slip,Minor,Maintenance,Weather,2025-08-24
IN00036,2025-07-12,10:46:49,LC025,slip,Minor,Security,Poor lighting,
IN00037,2025-08-19,23:58:52,LC004,TRIP,Minor,Maintenance,Poor lighting,
IN00038,2025-08-16,21:05:09,LC016,Near Miss,Minor,Maintenance,Human error,2025-10-07
IN00039,2025-07-22,05:37:37,LC010,Electrical,Minor,Operations,Poor lighting,2025-09-04
IN00040,2025-08-15,16:43:41,LC014,Slip,Minor,Security,Obstruction,2025-10-10
IN00041,2025-07-27,19:24:20,LC026,Near Miss,Minor,Projects,Human error,
IN00042,2025-07-24,19:11:32,LC011,Trip,Minor,Security,Poor lighting,2025-08-31
IN00043,2025-06-19,23:17:49,LC016,Manual Handling,Minor,Maintenance,,2025-07-23
IN00044,2025-07-09,08:14:19,LC009,Near Miss,Minor,Projects,Poor lighting,2025-08-25
IN00045,2025-07-21,20:21:03,LC002,Slip,Minor,Projects,Equipment,2025-09-02
IN00046,2025-08-25,23:33:57,LC005,Collision,Minor,Operations,Human error,2025-09-06
IN00047,2025-08-19,21:37:32,LC010,Electrical,Minor,Customer Service,Wet floor,2025-09-12
IN00048,2025-06-05,18:18:20,LC026,Manual Handling,Minor,Customer Service,Equipment,2025-06-05
IN00049,2025-07-21,17:20:48,LC018,Electrical,Minor,Customer Service,Obstruction,2025-09-02
IN00050,2025-07-22,10:09:02,LC003,Trip,Major,Customer Service,Human error,2025-08-16
IN00051,2025-06-19,11:27:33,LC002,Slip,Minor,Operations,Obstruction,
IN00052,2025-07-24,13:36:56,LC023,slip,Minor,Customer Service,,2025-08-22
IN00053,2025-06-28,15:06:22,LC018,Trip,Minor,Security,Obstruction,2025-08-25
IN00054,2025-07-21,14:10:07,LC011,Electrical,Minor,Operations,Wet floor,
IN00055,2025-06-10,14:17:31,LC024,Near Miss,Minor,Operations,Obstruction,2025-07-01
IN00056,2025-06-10,19:14:56,LC028,Manual Handling,Minor,Projects,Wet floor,
IN00057,2025-08-19,10:18:58,LC008,TRIP,Minor,Customer Service,Human error,
IN00058,2025-07-03,13:38:48,LC018,Electrical,Minor,Projects,Weather,2025-07-17
IN00059,2025-06-01,08:59:14,LC025,Trip,Major,Security,,2025-07-25
IN00060,2025-06-29,13:09:06,LC028,Near Miss,Minor,Security,Wet floor,2025-08-03
IN00061,2025-06-12,11:35:53,LC021,Trip,Major,Projects,Wet floor,
IN00062,2025-07-05,21:48:10,LC015,Slip,Minor,Operations,Equipment,
IN00063,2025-08-25,05:38:57,LC027,Manual Handling,Minor,Projects,Human error,2025-08-30
IN00064,2025-07-02,06:57:34,LC021,Collision,Major,Security,Wet floor,
IN00065,2025-07-26,22:51:12,LC024,Trip,Minor,Projects,Equipment,2025-08-28
IN00066,2025-06-03,05:31:53,LC003,Near Miss,Minor,Security,,
