PossessionID,ServicesImpacted,DelayMinutes,Cancellations
PS00001,19,73,7
PS00002,22,135,3
PS00003,19,6,2
PS00004,21,146,8
PS00005,15,228,2
PS00006,34,262,6
PS00007,22,75,10
PS00008,43,16,4
PS00009,9,255,0
PS00010,19,139,0
PS00011,17,182,7
PS00012,16,178,9
PS00013,36,392,9
PS00014,41,356,4
PS00015,33,162,4
PS00016,38,80,0
PS00017,20,273,0
PS00018,15,139,5
PS00019,31,83,1
PS00020,46,170,7
PS00021,14,270,6
PS00022,45,3,4
PS00023,25,68,0
PS00024,28,75,6
PS00025,23,300,1
PS00026,35,136,3
PS00027,25,292,7
PS00028,16,119,8
PS00029,43,293,6
PS00030,26,299,7
PS00031,28,137,2
PS00032,20,0,1
PS00033,16,206,3
PS00034,29,289,4
PS00035,23,210,4
PS00036,22,208,5
PS00037,19,251,7
PS00038,28,182,6
PS00039,29,218,7
PS00040,24,221,2
PS00041,52,152,5
PS00042,28,124,6
PS00043,51,425,7
PS00044,50,454,1
PS00045,18,253,5
PS00046,41,151,0
PS00047,23,411,4
PS00048,16,279,11
PS00049,18,67,7
PS00050,18,405,4
PS00051,19,190,9
PS00052,18,207,1
PS00053,29,69,6
PS00054,16,99,5
PS00055,21,325,2
PS00056,10,335,9
PS00057,36,171,5
PS00058,17,169,3
PS00059,32,276,10
PS00060,24,207,10
PS00061,27,209,3
PS00062,39,91,5
PS00063,10,119,7
PS00064,23,113,10
PS00065,18,5,6
PS00066,26,178,6
PS00067,26,301,3
PS00068,24,301,7
PS00069,36,29,10
PS00070,22,77,2
PS00071,32,283,9
PS00072,31,283,0
PS00073,24,106,1
PS00074,35,46,2
PS00075,35,260,10
PS00076,22,229,1
PS00077,13,157,9
PS00078,41,161,7
PS00079,47,484,12
PS00080,8,65,5
PS00081,28,65,9
PS00082,21,226,6
PS00083,34,481,0
PS00084,19,26,6
PS00085,27,94,9
PS00086,30,277,5
PS00087,28,183,3
PS00088,22,203,4
PS00089,9,376,7
PS00090,18,188,4
PS00091,21,121,8
PS00092,27,350,9
PS00093,41,356,10
PS00094,25,235,7
PS00095,13,278,10
PS00096,27,173,4
PS00097,21,8,8
PS00098,26,199,4
PS00099,18,419,1
PS00100,51,354,8
PS00101,18,306,0
PS00102,29,392,6
PS00103,29,197,4
PS00104,37,149,0
PS00105,19,180,7
PS00106,12,225,8
PS00107,21,0,7
PS00108,11,221,8
PS00109,35,298,7
PS00110,31,186,5
PS00111,24,295,2
PS00112,27,181,6
PS00113,23,146,6
PS00114,21,39,7
PS00115,48,312,7
PS00116,43,499,9
PS00117,28,81,4
PS00118,3,54,4
PS00119,28,309,10
PS00120,31,405,1
PS00121,39,120,8
PS00122,20,116,5
PS00123,23,285,6
PS00124,14,42,11
PS00125,30,300,2
PS00126,35,319,4
PS00127,27,292,10
PS00128,26,106,4
PS00129,19,301,5
PS00130,45,119,10
PS00131,25,220,4
PS00132,26,0,6
PS00133,31,410,3
PS00134,36,330,0
PS00135,8,187,9
PS00136,39,121,5
PS00137,25,103,4
PS00138,30,58,3
PS00139,33,214,2
PS00140,21,201,7
PS00141,22,0,1
PS00142,25,268,2
PS00143,27,17,3
PS00144,24,101,7
PS00145,31,194,0
PS00146,25,303,3
PS00147,4,270,7
PS00148,19,76,3
PS00149,24,0,6
PS00150,41,87,0
PS00151,32,202,8
PS00152,49,269,3
PS00153,20,274,6
PS00154,20,234,4
PS00155,26,141,3
PS00156,24,92,8
PS00157,24,206,6
PS00158,7,187,4
PS00159,35,262,7
PS00160,22,0,9
PS00161,19,120,2
PS00162,52,229,11
PS00163,20,281,5
PS00164,25,230,5
PS00165,28,202,6
PS00166,14,115,1
PS00167,20,299,8
PS00168,11,160,6
PS00169,15,286,5
PS00170,35,152,9
PS00171,17,260,4
PS00172,12,193,3
PS00173,34,142,7
PS00174,21,238,6
PS00175,32,152,5
PS00176,14,334,6
PS00177,36,132,3
PS00178,30,339,10
PS00179,14,113,6
PS00180,23,162,4
PS00181,43,313,7
PS00182,20,258,12
PS00183,19,98,4
PS00184,16,67,3
PS00185,34,230,3
PS00186,18,0,11
PS00187,13,162,7
PS00188,31,88,6
PS00189,24,260,7
PS00190,41,489,10
PS00191,27,264,1
PS00192,29,0,11
PS00193,26,11,5
PS00194,46,377,7
PS00195,40,359,13
PS00196,18,174,4
PS00197,33,19,3
PS00198,18,209,3
PS00199,10,439,8
PS00200,35,144,3
PS00201,49,404,9
PS00202,28,114,1
PS00203,4,243,5
PS00204,28,264,8
PS00205,31,100,5
PS00206,25,436,10
PS00207,4,265,6
PS00208,37,0,3
PS00209,12,236,0
PS00210,45,331,6
PS00211,24,200,6
PS00212,35,270,0
PS00213,10,270,8
PS00214,17,122,0
PS00215,25,173,4
PS00216,43,353,11
PS00217,31,69,8
PS00218,27,158,5
PS00219,9,79,8
PS00220,44,434,5
PS00221,29,62,0
PS00222,23,65,1
PS00223,25,265,2
PS00224,21,254,4
PS00225,12,185,6
PS00226,36,352,1
PS00227,9,199,6
PS00228,23,11,3
PS00229,35,292,3
PS00230,22,227,10
PS00231,32,266,5
PS00232,30,437,11
PS00233,28,221,2
PS00234,22,436,3
PS00235,30,185,2
PS00236,16,203,1
PS00237,25,69,8
PS00238,39,117,4
PS00239,31,295,6
PS00240,21,260,10
